,Name,fp,fp_per_game
0,Oliver Perez,4.83,2.415
1,Tim Collins,12.33,2.055
2,Edward Paredes,0.66,0.66
3,Mark Melancon,4.0,4.0
4,Brandon Mann,4.5,1.5
5,Pablo Sandoval,1.0,1.0
6,Hernan Perez,0.33,0.33
7,Daniel Descalso,1.6600000000000001,1.6600000000000001
8,Justin Miller,48.08,12.02
9,Kendrys Morales,0.5,0.5
10,Nathan Eovaldi,18.5,18.5
11,Ian Krol,3.25,3.25
12,Scott Copeland,3.08,3.08
13,Christian Bergman,11.5,11.5
14,Bryan Holaday,2.0,2.0
15,Drew Rucinski,0.33,0.33
16,Cory Mazzoni,2.58,0.86
17,Roenis Elias,11.5,11.5
18,Adrian Houser,9.25,4.625
19,Colten Brewer,-0.33999999999999986,-0.33999999999999986
20,Alec Asher,3.0,3.0
21,Austin Adams,-0.75,-0.375
22,Daniel Robertson,1.0,1.0
23,Yohander Mendez,0.41000000000000003,0.41000000000000003
24,Randy Rosario,36.16,7.231999999999999
25,James Hoyt,-0.42,-0.42
26,Giovanny Gallegos,2.5,2.5
27,Alex Reyes,4.25,4.25
28,Johnny Field,0.5,0.5
29,Jaime Schultz,11.5,11.5
30,Rob Zastryzny,3.25,3.25
31,Jimmie Sherfy,9.5,3.1666666666666665
32,Mark Leiter,1.75,1.75
33,Austin Gomber,12.0,12.0
34,Jefry Rodriguez,5.16,5.16
35,Jose Castillo,4.0,4.0
36,Sandy Baez,6.83,6.83
37,Seranthony Dominguez,98.16,8.923636363636364
38,Phil Maton,32.0,2.1333333333333333
39,Erik Goeddel,66.0,5.076923076923077
40,Jeremy Jeffress,160.75,5.543103448275862
41,Joe Musgrove,37.5,18.75
42,Frankie Montas,36.5,18.25
43,Dan Winkler,137.32999999999998,5.281923076923077
44,Kelvin Herrera,139.66,5.819166666666667
45,Lou Trivino,104.75,5.819444444444445
46,Johnny Cueto,75.0,15.0
47,Edubray Ramos,86.75,3.6145833333333335
48,Jonny Venters,59.83,4.273571428571429
49,Brandon Morrow,141.57999999999998,6.155652173913043
50,Adam Ottavino,185.32999999999998,6.8640740740740736
51,Blake Treinen,159.82999999999998,6.949130434782608
52,Josh Hader,228.32999999999998,11.4165
53,Silvino Bracho,25.58,3.654285714285714
54,Jared Hughes,99.08,3.5385714285714287
55,Justin Verlander,217.32999999999998,16.717692307692307
56,Louis Coleman,65.33,5.9390909090909085
57,Kirby Yates,132.0,5.739130434782608
58,James Pazos,75.66,3.289565217391304
59,Collin McHugh,60.08,3.1621052631578945
60,Reyes Moronta,71.25,2.7403846153846154
61,Will Smith,42.75,3.0535714285714284
62,Wade Miley,15.33,7.665
63,Kyle Barraclough,80.58,3.0992307692307692
64,Adam Conley,19.83,3.9659999999999997
65,Aroldis Chapman,184.41,7.3764
66,Jacob deGrom,169.32999999999998,14.110833333333332
67,Clay Buchholz,28.5,9.5
68,Matt Magill,26.91,2.2425
69,Donnie Hart,5.16,1.032
70,Carlos Martinez,84.0,10.5
71,Ross Stripling,116.83,6.87235294117647
72,Ryan Buchter,54.16,4.166153846153846
73,Sean Doolittle,169.07999999999998,6.763199999999999
74,Steve Cishek,98.75,3.5267857142857144
75,Justin Hancock,13.83,1.9757142857142858
76,Hector Rondon,53.66,2.2358333333333333
77,Brad Boxberger,133.82999999999998,6.083181818181817
78,Ariel Miranda,5.5,5.5
79,Jose Leclerc,67.25,3.3625
80,Yoshihisa Hirano,126.41,4.681851851851852
81,Kyle Crick,49.16,2.4579999999999997
82,Andrew Chafin,59.66,2.130714285714286
83,Bobby Poyner,37.16,4.128888888888889
84,Craig Stammen,147.66,5.679230769230769
85,Max Scherzer,242.41,20.200833333333332
86,Dereck Rodriguez,22.33,11.165
87,Jace Fry,60.5,4.653846153846154
88,Brian Duensing,54.16,2.0059259259259257
89,Victor Arano,28.58,1.78625
90,Shane Carle,115.0,4.423076923076923
91,Chris Devenski,136.91,5.704583333333333
92,Chasen Bradford,73.66,3.8768421052631576
93,Amir Garrett,118.41,4.554230769230769
94,Michael Lorenzen,27.25,5.45
95,Corey Kluber,200.41,16.700833333333332
96,Keynan Middleton,81.16,5.0725
97,Matt Albers,112.58,4.894782608695652
98,Craig Kimbrel,198.25,7.342592592592593
99,Carlos Ramirez,2.83,0.9433333333333334
100,Tim Peterson,12.08,4.026666666666666
101,Matt Barnes,140.66,5.6264
102,Hyun-Jin Ryu,76.66,12.776666666666666
103,Hector Velazquez,82.41,5.886428571428572
104,Brad Keller,60.33,2.742272727272727
105,Brad Hand,191.82999999999998,7.104814814814814
106,Anibal Sanchez,40.0,8.0
107,Aaron Nola,161.57999999999998,13.464999999999998
108,Arodys Vizcaino,116.66,4.666399999999999
109,Luis Severino,223.75,17.21153846153846
110,Gerrit Cole,210.66,17.555
111,Seth Lugo,82.41,3.924285714285714
112,Mike Foltynewicz,138.5,11.541666666666666
113,Pedro Strop,84.83,3.3931999999999998
114,Steven Wright,27.25,4.541666666666667
115,Jeurys Familia,156.25,5.787037037037037
116,Chad Green,129.0,5.608695652173913
117,Raisel Iglesias,113.5,5.159090909090909
118,Richard Bleier,92.0,3.68
119,Gio Gonzalez,137.82999999999998,11.485833333333332
120,Jeremy Hellickson,72.83,8.092222222222222
121,Mike Mayers,42.41,3.5341666666666662
122,Blake Wood,51.16,3.9353846153846153
123,Tony Watson,123.75,4.759615384615385
124,Josh Fields,91.25,3.2589285714285716
125,Adam Morgan,63.83,2.7752173913043476
126,Blake Snell,165.57999999999998,12.736923076923075
127,T.J. McFarland,43.5,2.175
128,Sam Dyson,110.33,4.086296296296296
129,Jordan Hicks,69.75,2.5833333333333335
130,Michael Wacha,143.75,11.979166666666666
131,Hunter Strickland,129.5,4.796296296296297
132,Jose Alvarez,57.25,1.9083333333333334
133,Jon Lester,127.0,10.583333333333334
134,Jacob Barnes,53.0,2.65
135,Taylor Williams,33.25,1.6625
136,Joe Jimenez,143.32999999999998,4.4790624999999995
137,David Hernandez,74.08,4.938666666666666
138,Jaime Barria,83.58,11.94
139,Miles Mikolas,140.32999999999998,12.757272727272726
140,Scott Barlow,24.16,6.04
141,Richard Rodriguez,35.75,1.7875
142,Wade LeBlanc,61.25,5.568181818181818
143,Archie Bradley,163.91,5.853928571428571
144,Jack Flaherty,60.83,10.138333333333334
145,Junior Guerra,78.08,7.808
146,Jake Arrieta,92.83,8.43909090909091
147,Justin Wilson,58.91,2.4545833333333333
148,Kenley Jansen,139.25,5.355769230769231
149,Fernando Rodney,118.0,5.619047619047619
150,Jesse Biddle,37.5,2.34375
151,Harrison Musgrave,13.58,1.6975
152,Wander Suero,10.75,1.075
153,Sean Newcomb,129.16,11.741818181818182
154,Walker Buehler,88.5,11.0625
155,Dan Altavilla,75.16,3.579047619047619
156,Jonathan Holder,46.91,2.606111111111111
157,Clayton Kershaw,55.5,6.9375
